number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
0,2796.052189255468,2024-03-04 11:42:30.884741,2024-03-04 11:42:30.892327,0 days 00:00:00.007586,2.146850959577046,33.048803335654796,0.5988673960208171,752.4167521108703,1462.203660342318,COMPLETE
1,1111.5890650536285,2024-03-04 11:42:31.074726,2024-03-04 11:42:31.080603,0 days 00:00:00.005877,1.8531579764200534,35.937684682286005,0.4008063352427137,670.0940984675096,1317.2959095414349,COMPLETE
2,587.7360273335654,2024-03-04 11:42:31.275494,2024-03-04 11:42:31.281098,0 days 00:00:00.005604,2.1122216286940083,32.039590140106625,0.40412650310646425,581.7886923261715,1505.1106972484515,COMPLETE
3,2035.3806364791897,2024-03-04 11:42:31.477062,2024-03-04 11:42:31.482721,0 days 00:00:00.005659,2.078677584516254,31.3771278537083,0.4337277316301349,716.3452698650876,1436.9139686718606,COMPLETE
4,54.75399029528218,2024-03-04 11:42:31.670640,2024-03-04 11:42:31.676649,0 days 00:00:00.006009,1.9253676217708557,35.05532405764383,0.5089306209145208,544.6997699314885,1297.338732193485,COMPLETE
5,2439.2249601563017,2024-03-04 11:42:31.872860,2024-03-04 11:42:31.878820,0 days 00:00:00.005960,2.0071079124569433,30.264645069768243,0.552480534370515,721.9874829461932,1534.5113769613945,COMPLETE
6,2218.443345200837,2024-03-04 11:42:32.073961,2024-03-04 11:42:32.080807,0 days 00:00:00.006846,1.917492584446804,36.27032633066297,0.4290677241297487,775.8218820368265,1256.025638384114,COMPLETE
7,2820.5766293964984,2024-03-04 11:42:32.265698,2024-03-04 11:42:32.271058,0 days 00:00:00.005360,2.130953321018228,32.39571562294043,0.5856683915879717,765.2660689923772,1414.3897362983896,COMPLETE
8,2151.672298295572,2024-03-04 11:42:32.466498,2024-03-04 11:42:32.472281,0 days 00:00:00.005783,2.1259710537257352,31.011435739672123,0.5348577217435204,691.3632423088903,1518.7107512242976,COMPLETE
9,606.9746318399207,2024-03-04 11:42:32.661226,2024-03-04 11:42:32.667027,0 days 00:00:00.005801,2.1830924252542228,36.89541153697925,0.49322079054496637,510.60767514269344,1208.0398134771706,COMPLETE
10,529.3926540206289,2024-03-04 11:42:32.850655,2024-03-04 11:42:32.870209,0 days 00:00:00.019554,1.814038733832909,28.095346879840026,0.4898249942735959,611.109548895321,1338.7662898036147,COMPLETE
11,627.9413313159083,2024-03-04 11:42:33.051938,2024-03-04 11:42:33.071215,0 days 00:00:00.019277,1.8051187768412083,28.447035907088477,0.4876770189735979,619.300977115467,1341.3095522085807,COMPLETE
12,78.57222217456669,2024-03-04 11:42:33.259964,2024-03-04 11:42:33.281125,0 days 00:00:00.021161,1.918509640991514,28.015258922471645,0.47610444806821817,567.009471774927,1348.7232775957928,COMPLETE
13,113.12057508505441,2024-03-04 11:42:33.470957,2024-03-04 11:42:33.491487,0 days 00:00:00.020530,1.9319166225640096,34.40334432170297,0.466162048974719,532.0020789550317,1390.3826245423381,COMPLETE
